Host,Nematodes Rhabditida,Parasite,Family,Genus,Species_clean,Synonyms,Refs,Location,R_1,R_2,R_3,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12
Alcelaphus buselaphus,Nematodes Rhabditida,Trichostrongylus auriculatus,Trichostrongylidae,Trichostrongylus,Trichostrongylus auriculatus,,1,South Africa,"Boomker, J. (1986) Trichostrongylus auriculatus, new species (Nematoda: Trichostrongylidae) from the steenbok, Raphicerus campestris (Thunberg, 1811). Onderstepoort Journal of Veterinary Research, 53 (4) 213-216",,,,,,,,,,,,
Alcelaphus buselaphus,Nematodes Rhabditida,Trichostrongylus falculatus,Trichostrongylidae,Trichostrongylus,Trichostrongylus falculatus,,1,South Africa,"Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41",,,,,,,,,,,,
Giraffa camelopardalis,Nematodes Rhabditida,Trichostrongylus probolurus,Trichostrongylidae,Trichostrongylus,Trichostrongylus probolurus,,1,Amsterdam Zoo,Swierstra et al (1959),,,,,,,,,,,,
Nanger granti,Nematodes Rhabditida,Trichostrongylus colubriformis (Giles 1892),Trichostrongylidae,Trichostrongylus,Trichostrongylus colubriformis,Strongylus colubriformis,2,Kenya,Daubney (1933),"Department of Veterinary Services, Kenya, Laboratory Records",,,,,,,,,,,
Nanger granti,Nematodes Rhabditida,"Trichostrongylus probolurus (Railliet, 1896)",Trichostrongylidae,Trichostrongylus,Trichostrongylus probolurus,,1,Kenya,"Department of Veterinary Services, Kenya, Laboratory Records, 1938",,,,,,,,,,,,
Oryx gazella,Nematodes Rhabditida,Trichostrongylus auriculatus,Trichostrongylidae,Trichostrongylus,Trichostrongylus auriculatus,,1,South Africa,"Boomker, J. (1986) Trichostrongylus auriculatus, new species (Nematoda: Trichostrongylidae) from the steenbok, Raphicerus campestris (Thunberg, 1811). Onderstepoort Journal of Veterinary Research, 53 (4) 213-216",,,,,,,,,,,,
Aepyceros melampus,Nematodes Rhabditida,Impalaia nudicollis (Monnig 1931),Trichostrongylidae,Impalaia,Impalaia nudicollis,,3,"South Africa, Kenya",Monnig (1933a),Ortlepp (1961a),Round (1962b),,,,,,,,,,
Aepyceros melampus,Nematodes Rhabditida,"Impalaia taurotragi (Le Roux, 1936)",Trichostrongylidae,Impalaia,Impalaia taurotragi,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Oryx gazella,Nematodes Rhabditida,Trichostrongylus axei,Trichostrongylidae,Trichostrongylus,Trichostrongylus axei,,1,South Africa,"Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.",,,,,,,,,,,,
Oryx gazella,Nematodes Strongylida,Protostrongylus etoshai,Protostrongylidae,Protostrongylus,Protostrongylus etoshai,,1,South Africa,Ortlepp (1962a),,,,,,,,,,,,
Oryx gazella,Nematodes Rhabditida,Trichostrongylus deflexus,Trichostrongylidae,Trichostrongylus,Trichostrongylus deflexus,,1,South Africa,"Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41",,,,,,,,,,,,
Oryx gazella,Nematodes Rhabditida,Trichostrongylus falculatus,Trichostrongylidae,Trichostrongylus,Trichostrongylus falculatus,,2,South Africa,"Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.","Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41",,,,,,,,,,,
Oryx gazella,Nematodes Rhabditida,Trichostrongylus pietersei,Trichostrongylidae,Trichostrongylus,Trichostrongylus pietersei,,1,South Africa,"Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41",,,,,,,,,,,,
Oryx gazella,Nematodes Rhabditida,Trichostrongylus rugatus,Trichostrongylidae,Trichostrongylus,Trichostrongylus rugatus,,2,"South Africa, Johannesburg Zoo","Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41",LeRoux (1930b),,,,,,,,,,,
Oryx gazella,Nematodes Rhabditida,Trichostrongylus thomasi,Trichostrongylidae,Trichostrongylus,Trichostrongylus thomasi,,1,South Africa,"Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41",,,,,,,,,,,,
Oryx gazella,Nematodes Rhabditida,Trichostrongylus colubriformis,Trichostrongylidae,Trichostrongylus,Trichostrongylus colubriformis,,1,Johannesburg Zoo,LeRoux (1930b),,,,,,,,,,,,
Phaecochoerus aethiopicus,Nematodes Trichostrongyloidea,"Trichostrongylus deflexus Boomker & Reinecke, 1989",Trichostrongylidae,Trichostrongylus,Trichostrongylus deflexus,,1,South Africa,"(Boomker, J., et al.,) (1991) 'Parasites of South African wildlife. VIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal.' Onderstepoort Journal of Veterinary Research. Pretoria 58(3): 195-202 , 7 figs, 4 tabs.",,,,,,,,,,,,
Phaecochoerus aethiopicus,Nematodes Trichostrongyloidea,"Trichostrongylus falculatus Ransom, 1911",Trichostrongylidae,Trichostrongylus,Trichostrongylus falculatus,,1,South Africa,"(Horak, I.G., et al.,) (1988) 'Parasites of domestic and wild animals in South Africa. XXIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal lowveld.' Onderstepoort Journal of Veterinary Research. Pretoria 55(3): 145-152 , 3 figs.",,,,,,,,,,,,
Phaecochoerus aethiopicus,Nematodes Trichostrongyloidea,"Trichostrongylus hypsokysta Crites, 1964",Trichostrongylidae,Trichostrongylus,Trichostrongylus hypsokysta,,1,South Africa,"(Horak, I.G., et al.,) (1988) 'Parasites of domestic and wild animals in South Africa. XXIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal lowveld.' Onderstepoort Journal of Veterinary Research. Pretoria 55(3): 145-152 , 3 figs.",,,,,,,,,,,,
Phaecochoerus aethiopicus,Nematodes Trichostrongyloidea,"Trichostrongylus instabilis (Railliet, 1893)",Trichostrongylidae,Trichostrongylus,Trichostrongylus instabilis,,1,South Africa,"(Horak, I.G., et al.,) (1988) 'Parasites of domestic and wild animals in South Africa. XXIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal lowveld.' Onderstepoort Journal of Veterinary Research. Pretoria 55(3): 145-152 , 3 figs.",,,,,,,,,,,,
Phaecochoerus aethiopicus,Nematodes Trichostrongyloidea,Trichostrongylus spp.,Trichostrongylidae,Trichostrongylus,Trichostrongylus sp.,,1,South Africa,"(Boomker, J., et al.,) (1991) 'Parasites of South African wildlife. VIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal.' Onderstepoort Journal of Veterinary Research. Pretoria 58(3): 195-202 , 7 figs, 4 tabs.",,,,,,,,,,,,
Phaecochoerus aethiopicus,Nematodes Trichostrongyloidea,"Trichostrongylus thomasi Monnig, 1932",Trichostrongylidae,Trichostrongylus,Trichostrongylus thomasi,,2,South Africa,"(Boomker, J., et al.,) (1991) 'Parasites of South African wildlife. VIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal.' Onderstepoort Journal of Veterinary Research. Pretoria 58(3): 195-202 , 7 figs, 4 tabs.","(Horak, I.G., et al.,) (1988) 'Parasites of domestic and wild animals in South Africa. XXIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal lowveld.' Onderstepoort Journal of Veterinary Research. Pretoria 55(3): 145-152 , 3 figs.",,,,,,,,,,,
Aepyceros melampus,Nematodes Rhabditida,"Impalaia tuberculata (Monnig, 1924)",Trichostrongylidae,Impalaia,Impalaia tuberculata,,10,"South Africa, Zimbabwe","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.",Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,"Horak, I. G., Boomker, J., Kingsley, S., and V. De Vos (1983) The efficacy of ivermectin against helminth and arthropod parasites of impala. Journal of the South African Veterinary Association, 54: 251-253","Anderson, I. G. (1982) The prevalence of helminths in impala Aepyceros melampus (Lichtenstein 1812) under game ranching conditions. South African Journal of wildlife Research, 13: 55-70.",Meeser (1952),Monnig (1923),Monnig (1924),Monnig (1933a),Ortlepp (1961a),,,
Alcelaphus buselaphus,Nematodes Rhabditida,Impalaia sp.,Trichostrongylidae,Impalaia,Impalaia sp.,,1,South Africa,"Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.",,,,,,,,,,,,
Bos taurus,Nematodes Strongyloidea,"Mammomonogamus laryngeus Railliet, 1899",Syngamidae,Mammomonogamus,Mammomonogamus laryngeus,,8,,,,,,,,,,,,,,
Bos taurus,Nematodes Strongyloidea,"Mammomonogamus nasicola Buckley, 1934",Syngamidae,Mammomonogamus,Mammomonogamus nasicola,,1,,,,,,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Mammomonogamus loxodontis,Syngamidae,Mammomonogamus,Mammomonogamus loxodontis,Syngamus loxodontis,2,"Congo, Anvers Zoo",Vuylsteke (1935),Vuylsteke (1956),,,,,,,,,,,
Taurotragus oryx,Nematodes Rhabditida,"Cooperia africana Monnig, 1932  ",Cooperiidae,Cooperia,Cooperia africana,,3,"Zimbabwe, Kenya","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Monnig 1932b),Monnig (1933a),,,,,,,,,,
Taurotragus oryx,Nematodes Rhabditida,Cooperia connochaeiti,Cooperiidae,Cooperia,Cooperia connochaeiti,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Taurotragus oryx,Nematodes Rhabditida,"Cooperia neitzi Monnig, 1932    ",Cooperiidae,Cooperia,Cooperia neitzi,,2,"Zimbabwe, Zambi","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",LeRoux (1950a),,,,,,,,,,,
Taurotragus oryx,Nematodes Rhabditida,"Cooperia pectinata Ransom, 1907",Cooperiidae,Cooperia,Cooperial pectinata,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Alcelaphus buselaphus,Nematodes Rhabditida,Impalaia nudicollis,Trichostrongylidae,Impalaia,Impalaia nudicollis,,1,South Africa,"Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.",,,,,,,,,,,,
Oryx gazella,Nematodes Rhabditida,Impalaia sp.,Trichostrongylidae,Impalaia,Impalaia sp.,,1,South Africa,"Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.",,,,,,,,,,,,
Oryx gazella,Nematodes Rhabditida,Impalaia nudicollis,Trichostrongylidae,Impalaia,Impalaia nudicollis,,1,South Africa,"Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.",,,,,,,,,,,,
Oryx gazella,Nematodes Rhabditida,Impalaia tuberculata,Trichostrongylidae,Impalaia,Impalaia tuberculata,,1,South Africa,"Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.",,,,,,,,,,,,
Phaecochoerus aethiopicus,Nematodes Rhabditida,"Impalaia tuberculata (Monnig, 1924)",Trichostrongylidae,Impalaia,Impalaia tuberculata,,2,South Africa,"(Boomker, J., et al.,) (1991) 'Parasites of South African wildlife. VIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal.' Onderstepoort Journal of Veterinary Research. Pretoria 58(3): 195-202 , 7 figs, 4 tabs.","(Horak, I.G., et al.,) (1988) 'Parasites of domestic and wild animals in South Africa. XXIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal lowveld.' Onderstepoort Journal of Veterinary Research. Pretoria 55(3): 145-152 , 3 figs.",,,,,,,,,,,
Camelus dromedarius,Nematodes Trichostrongyloidea,Nematodirella dromedarii,Trichostrongylidae,Nematodirella,Nematodirella dromedarii,,1,,,,,,,,,,,,,,
Syncerus caffer,Nematodes Rhabditida,"Impalaia tuberculata (Monnig, 1924)",Trichostrongylidae,Impalaia,Impalaia tuberculata,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Taurotragus oryx,Nematodes Rhabditida,Cooperia verrucosa,Cooperiidae,Cooperia,Cooperia verrucosa,,2,Kenya,Monnig (1932b),Monnig (1933a),,,,,,,,,,,
Taurotragus oryx,Nematodes Rhabditida,"Impalaia taurotragi (Le Roux, 1936)",Trichostrongylidae,Impalaia,Impalaia taurotragi,,2,"Zimbabwe, Zambia","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",LeRoux (1936b),,,,,,,,,,,
Taurotragus oryx,Nematodes Rhabditida,Impalaia tuberculata,Trichostrongylidae,Impalaia,Impalaia tuberculata,,1,Kenya,Monnig (1933a),,,,,,,,,,,,
Bos taurus,Nematodes Trichostrongyloidea,"Nematodirella longissimespiculata (Romanovitsch, 1915)",Trichostrongylidae,Nematodirella,Nematodirella longissimespiculata,,1,,,,,,,,,,,,,,
Camelus dromedarius,Nematodes Trichostrongyloidea,"Nematodirella longissimespiculata (Romanovitsch, 1915)",Trichostrongylidae,Nematodirella,Nematodirella longissimespiculata,,2,,,,,,,,,,,,,,
Taurotragus oryx,Nematodes Rhabditida,Trichostrongylus leiperi,Trichostrongylidae,Trichostrongylus,Trichostrongylus leiperi,,1,Zambia,LeRoux (1950a),,,,,,,,,,,,
