"Date","Period","Status","Treatment","X.","Tsect","Side","Dist","Elephant","Zebra","Giraffe","Hare","Cow","Buffalo","Impala","Rhino","Gazelle","Eland","Warthog","Eegg","Emult","Begg","Bmult","Cegg","Cmult","Zegg","Zmult","Iegg","Imult","Gegg","Gmult","Gagg","Gamult","Elegg","Elmult","all"
"9/24/2016",0,"Pre","CONT","Kambi","B",0,60,0,0,0,0,0,192,0,0,0,0,0,0,0,12.1465591594836,2332.13935862085,0,0,0,0,0,0,0,0,0,0,0,0,2332.13935862085
"9/24/2016",0,"Pre","CONT","Kambi","B",0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","B",0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","B",0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","B",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","B",0,110,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,152.548463371891,39052.406623204,0,0,0,0,0,0,0,0,0,0,39052.406623204
"9/24/2016",0,"Pre","CONT","Kambi","B",0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","B",0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","B",0,140,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5266144714778,352.899217072167,0,0,0,0,352.899217072167
"9/24/2016",0,"Pre","CONT","Kambi","B",0,150,0,0,0,0,0,256,0,0,0,0,0,0,0,12.1465591594836,3109.51914482779,0,0,0,0,0,0,0,0,0,0,0,0,3109.51914482779
"9/24/2016",0,"Pre","CONT","Kambi","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","C",0,10,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5266144714778,529.348825608251,0,0,0,0,529.348825608251
"9/24/2016",0,"Pre","CONT","Kambi","C",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","C",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","C",0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","C",0,50,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,0,0,140.283045829943,2777.60430743287,0,0,0,0,0,0,2777.60430743287
"9/24/2016",0,"Pre","CONT","Kambi","C",0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","C",0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","C",0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","C",0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","C",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","C",0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","C",0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","C",0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","C",0,140,0,0,0,0,0,512,0,0,0,0,0,0,0,12.1465591594836,6219.03828965559,0,0,0,0,0,0,0,0,0,0,0,0,6219.03828965559
"9/24/2016",0,"Pre","CONT","Kambi","C",0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
